client,deliverables,deliverables_llm,doc_id,file,scope_of_work,scope_of_work_llm,tone
"Grant, Daugherty and Perez",1,1,SOW-0535,sow_0535.txt,1,0,corporate
Murphy and Sons,1,0,SOW-0536,sow_0536.txt,1,1,neutral
Navarro-Harrington,1,1,SOW-0537,sow_0537.txt,1,0,formal
Choi Group,1,1,SOW-0538,sow_0538.txt,1,0,conversational
"Johnston, Baxter and Williams",1,1,SOW-0539,sow_0539.txt,1,0,formal
Bowen-Martinez,1,0,SOW-0540,sow_0540.txt,1,1,corporate
Mendez Ltd,,,SOW-0541,sow_0541.txt,1,1,legal
Munoz PLC,1,0,SOW-0542,sow_0542.txt,1,0,technical
Roberts LLC,1,1,SOW-0543,sow_0543.txt,1,0,neutral
"Jones, Adams and Mcdonald",,,SOW-0544,sow_0544.txt,1,1,corporate
Brown PLC,,,SOW-0545,sow_0545.txt,1,1,legal
Benton Inc,,,SOW-0546,sow_0546.txt,1,1,corporate
"Henson, Fernandez and Day",1,0,SOW-0547,sow_0547.txt,1,1,formal
Gibbs-Bennett,1,1,SOW-0548,sow_0548.txt,,,explanatory
"Dean, Thomas and Robinson",1,0,SOW-0549,sow_0549.txt,1,1,legal
Huynh Group,1,0,SOW-0550,sow_0550.txt,1,1,legal
Adams-Bush,,,SOW-0551,sow_0551.txt,1,1,formal
Fitzpatrick-Little,1,1,SOW-0552,sow_0552.txt,1,0,corporate
"Watts, Williams and Williams",1,1,SOW-0553,sow_0553.txt,1,0,corporate
"Martinez, Franco and Mclaughlin",1,0,SOW-0554,sow_0554.txt,,,explanatory
Henry Group,1,1,SOW-0555,sow_0555.txt,1,0,formal
"Johnson, Klein and Hensley",1,0,SOW-0556,sow_0556.txt,1,1,neutral
Clark Inc,1,1,SOW-0557,sow_0557.txt,1,0,conversational
"Smith, Brown and Bates",1,0,SOW-0558,sow_0558.txt,1,1,neutral
"Blair, Li and Ward",1,0,SOW-0559,sow_0559.txt,1,1,technical
Jacobs and Sons,1,1,SOW-0560,sow_0560.txt,,,technical
Hernandez-May,1,1,SOW-0561,sow_0561.txt,1,0,technical
"Walker, Gonzalez and Tate",1,0,SOW-0562,sow_0562.txt,1,0,formal
Foster-Mullins,1,0,SOW-0563,sow_0563.txt,1,1,contractual
"Logan, Johnson and Hall",1,0,SOW-0564,sow_0564.txt,1,1,legal
"Oneill, Robertson and Herrera",1,0,SOW-0565,sow_0565.txt,1,1,explanatory
"Anderson, Hayes and King",,,SOW-0566,sow_0566.txt,1,1,technical
Bailey Group,1,1,SOW-0567,sow_0567.txt,1,0,corporate
Sanchez-Mejia,1,1,SOW-0568,sow_0568.txt,,,contractual
"Allen, Chapman and Griffin",1,1,SOW-0569,sow_0569.txt,1,0,contractual
Diaz LLC,1,0,SOW-0570,sow_0570.txt,1,0,contractual
"Pruitt, Cohen and Johnson",,,SOW-0571,sow_0571.txt,1,1,explanatory
"Allen, Wright and Andersen",1,1,SOW-0572,sow_0572.txt,,,formal
Diaz-Cline,1,1,SOW-0573,sow_0573.txt,1,0,explanatory
Sanders Inc,1,1,SOW-0574,sow_0574.txt,1,0,corporate
Wallace-Klein,1,0,SOW-0575,sow_0575.txt,1,1,corporate
Gray PLC,,,SOW-0576,sow_0576.txt,1,1,conversational
"Campbell, Erickson and Baker",,,SOW-0577,sow_0577.txt,1,1,neutral
Newman-Huff,1,0,SOW-0578,sow_0578.txt,1,1,technical
Zavala-Johnson,,,SOW-0579,sow_0579.txt,1,1,conversational
"Collins, Horton and Morgan",1,0,SOW-0580,sow_0580.txt,1,1,neutral
"Hunt, Peterson and Pruitt",1,0,SOW-0581,sow_0581.txt,1,1,conversational
Stephens and Sons,1,0,SOW-0582,sow_0582.txt,1,0,legal
Gonzalez-Fowler,1,0,SOW-0583,sow_0583.txt,1,0,conversational
Morrow Ltd,1,1,SOW-0584,sow_0584.txt,1,0,neutral
"Beck, Davenport and Russell",1,0,SOW-0585,sow_0585.txt,1,1,contractual
"Mcdaniel, Thompson and Alvarez",1,1,SOW-0586,sow_0586.txt,,,formal
"Thompson, Ryan and Howard",1,1,SOW-0587,sow_0587.txt,1,0,neutral
Morales-Burnett,1,0,SOW-0588,sow_0588.txt,1,1,legal
Greene Inc,1,1,SOW-0589,sow_0589.txt,,,neutral
"Delgado, Sutton and Wilson",,,SOW-0590,sow_0590.txt,1,1,legal
Williams PLC,1,1,SOW-0591,sow_0591.txt,,,contractual
Black Inc,1,1,SOW-0592,sow_0592.txt,,,legal
Mclaughlin and Sons,1,1,SOW-0593,sow_0593.txt,1,0,formal
Bowen-Owen,1,0,SOW-0594,sow_0594.txt,1,1,technical
Zimmerman-Martin,1,1,SOW-0595,sow_0595.txt,,,neutral
"Duncan, Meyer and Perkins",1,1,SOW-0596,sow_0596.txt,1,0,formal
Bailey LLC,1,1,SOW-0597,sow_0597.txt,1,0,explanatory
Rowland-Roach,,,SOW-0598,sow_0598.txt,1,1,contractual
"Guerra, Manning and Cole",1,1,SOW-0599,sow_0599.txt,1,0,corporate
"Campbell, Jones and Rosales",1,0,SOW-0600,sow_0600.txt,1,0,corporate
"Haynes, Spencer and Watson",,,SOW-0601,sow_0601.txt,1,1,corporate
"Wright, Williams and Martinez",1,1,SOW-0602,sow_0602.txt,1,0,neutral
Williams-Cruz,1,1,SOW-0603,sow_0603.txt,1,0,conversational
"Spears, Sanders and Bruce",,,SOW-0604,sow_0604.txt,1,1,contractual
Thompson LLC,1,0,SOW-0605,sow_0605.txt,1,1,explanatory
Vasquez-Kelly,1,1,SOW-0606,sow_0606.txt,1,0,neutral
Watts PLC,1,1,SOW-0607,sow_0607.txt,1,0,formal
"Phillips, Graves and Hardin",1,0,SOW-0608,sow_0608.txt,,,corporate
Houston-Neal,1,0,SOW-0609,sow_0609.txt,1,1,explanatory
Reeves-Gutierrez,1,0,SOW-0610,sow_0610.txt,1,1,explanatory
Jackson Ltd,,,SOW-0611,sow_0611.txt,1,1,formal
"Fuller, Griffin and Bennett",1,1,SOW-0612,sow_0612.txt,1,0,conversational
"Evans, Richardson and Davidson",1,1,SOW-0613,sow_0613.txt,1,0,conversational
"Spears, Cox and Snyder",1,0,SOW-0614,sow_0614.txt,1,0,formal
"Bell, Cortez and Johnson",1,0,SOW-0615,sow_0615.txt,,,neutral
Cannon Group,,,SOW-0616,sow_0616.txt,1,0,corporate
Wilkinson-Nunez,1,1,SOW-0617,sow_0617.txt,1,0,technical
"Hobbs, Moreno and Mitchell",,,SOW-0618,sow_0618.txt,1,1,technical
Klein LLC,,,SOW-0619,sow_0619.txt,1,1,contractual
Lee-Bell,,,SOW-0620,sow_0620.txt,1,1,formal
"Chavez, Duran and Graham",1,1,SOW-0621,sow_0621.txt,1,0,conversational
Davis-French,1,1,SOW-0622,sow_0622.txt,,,neutral
Fischer Group,,,SOW-0623,sow_0623.txt,1,1,technical
Thomas PLC,1,1,SOW-0624,sow_0624.txt,1,0,corporate
"Cummings, Yates and Golden",1,1,SOW-0625,sow_0625.txt,1,0,formal
Dixon Group,1,1,SOW-0626,sow_0626.txt,,,formal
Alexander-Stone,,,SOW-0627,sow_0627.txt,1,1,legal
King LLC,,,SOW-0628,sow_0628.txt,1,1,neutral
Anderson LLC,1,1,SOW-0629,sow_0629.txt,,,neutral
Baker PLC,,,SOW-0630,sow_0630.txt,1,1,formal
Valencia-Woods,1,1,SOW-0631,sow_0631.txt,1,0,conversational
Foster-Harris,,,SOW-0632,sow_0632.txt,1,1,legal
Rowland Inc,1,0,SOW-0633,sow_0633.txt,1,1,neutral
Carr-Lawson,1,0,SOW-0634,sow_0634.txt,,,neutral
Merritt-Santiago,1,1,SOW-0635,sow_0635.txt,,,neutral
"Ward, Irwin and Dunn",1,1,SOW-0636,sow_0636.txt,,,formal
"Hudson, Stone and Atkins",1,0,SOW-0637,sow_0637.txt,1,1,conversational
Cain-Ellison,1,1,SOW-0638,sow_0638.txt,,,legal
Payne PLC,1,1,SOW-0639,sow_0639.txt,1,0,formal
Romero-Barron,1,1,SOW-0640,sow_0640.txt,1,0,corporate
Ellison-Williams,1,1,SOW-0641,sow_0641.txt,1,0,technical
"Miller, Morris and Herrera",1,0,SOW-0642,sow_0642.txt,1,1,formal
"Contreras, Nash and Adkins",,,SOW-0643,sow_0643.txt,1,0,explanatory
Henry PLC,1,1,SOW-0644,sow_0644.txt,1,0,legal
Nunez and Sons,,,SOW-0645,sow_0645.txt,1,1,conversational
Fitzgerald-Patton,1,0,SOW-0646,sow_0646.txt,1,1,neutral
Osborne PLC,1,1,SOW-0647,sow_0647.txt,1,0,neutral
Burke and Sons,1,0,SOW-0648,sow_0648.txt,1,1,corporate
Johnson Group,1,1,SOW-0649,sow_0649.txt,,,corporate
Fox Group,1,1,SOW-0650,sow_0650.txt,1,0,contractual
"Ponce, Sosa and Ochoa",,,SOW-0651,sow_0651.txt,1,0,corporate
"Park, Oneill and Morgan",1,1,SOW-0652,sow_0652.txt,,,explanatory
Thomas Group,1,1,SOW-0653,sow_0653.txt,,,neutral
"Bridges, Rogers and Anderson",,,SOW-0654,sow_0654.txt,1,1,legal
Weiss-Rios,1,0,SOW-0655,sow_0655.txt,1,1,neutral
"Lambert, Robinson and Garcia",1,1,SOW-0656,sow_0656.txt,1,0,conversational
Frazier Inc,,,SOW-0657,sow_0657.txt,1,1,contractual
"Alvarado, Copeland and Moore",1,0,SOW-0658,sow_0658.txt,1,1,formal
Berry-Juarez,1,0,SOW-0659,sow_0659.txt,1,1,conversational
King PLC,,,SOW-0660,sow_0660.txt,1,0,formal
"Buckley, Mcmahon and Ross",1,1,SOW-0661,sow_0661.txt,1,0,explanatory
Butler-Fletcher,1,0,SOW-0662,sow_0662.txt,1,1,explanatory
"Tyler, Estrada and Walker",,,SOW-0663,sow_0663.txt,1,1,formal
"Hopkins, Hernandez and Hart",1,0,SOW-0664,sow_0664.txt,1,1,contractual
Williams Group,,,SOW-0665,sow_0665.txt,1,0,formal
"Rivera, Lowe and Thompson",1,0,SOW-0666,sow_0666.txt,1,1,technical
"Perry, Wilkins and Martin",1,0,SOW-0667,sow_0667.txt,1,1,corporate
"George, Smith and Bishop",1,1,SOW-0668,sow_0668.txt,1,0,formal
"Olson, Garcia and Keller",1,0,SOW-0669,sow_0669.txt,1,0,technical
Scott LLC,1,0,SOW-0670,sow_0670.txt,1,1,corporate
Crawford LLC,1,0,SOW-0671,sow_0671.txt,1,1,technical
"Patel, Smith and Davidson",,,SOW-0672,sow_0672.txt,1,1,explanatory
"Robertson, Cunningham and Davidson",1,0,SOW-0673,sow_0673.txt,1,1,contractual
Thompson Inc,,,SOW-0674,sow_0674.txt,1,1,neutral
Padilla and Sons,,,SOW-0675,sow_0675.txt,1,1,corporate
"Pitts, Stephens and Wilson",1,1,SOW-0676,sow_0676.txt,1,0,contractual
"Mullins, Nielsen and Myers",1,1,SOW-0677,sow_0677.txt,1,0,formal
Garcia-Hartman,1,1,SOW-0678,sow_0678.txt,,,legal
Cooper PLC,1,1,SOW-0679,sow_0679.txt,,,neutral
Thomas-Mccarty,1,0,SOW-0680,sow_0680.txt,1,0,neutral
Cook-Hall,1,1,SOW-0681,sow_0681.txt,,,explanatory
"Stein, Pearson and King",1,1,SOW-0682,sow_0682.txt,1,0,corporate
Hicks-Adams,,,SOW-0683,sow_0683.txt,1,1,technical
"Elliott, Guzman and Barnes",,,SOW-0684,sow_0684.txt,1,1,formal
Weaver-Wilson,1,1,SOW-0685,sow_0685.txt,1,0,technical
"Wood, Rodgers and Young",1,1,SOW-0686,sow_0686.txt,1,0,neutral
Meyer-Adkins,1,0,SOW-0687,sow_0687.txt,1,1,neutral
"Roberts, Hammond and Anderson",,,SOW-0688,sow_0688.txt,1,1,neutral
Miller-Johnston,1,1,SOW-0689,sow_0689.txt,1,0,conversational
"Williams, Drake and Wiggins",,,SOW-0690,sow_0690.txt,1,1,formal
"Davis, Collins and Martinez",1,1,SOW-0691,sow_0691.txt,,,neutral
Barron Ltd,1,1,SOW-0692,sow_0692.txt,,,contractual
Chapman PLC,1,0,SOW-0693,sow_0693.txt,1,1,technical
Cline Inc,,,SOW-0694,sow_0694.txt,1,1,legal
"Sanders, Reynolds and Park",1,0,SOW-0695,sow_0695.txt,1,0,technical
"Terry, White and Smith",1,0,SOW-0696,sow_0696.txt,1,1,technical
Murray Ltd,1,1,SOW-0697,sow_0697.txt,1,0,conversational
Foster-Ortiz,1,0,SOW-0698,sow_0698.txt,1,0,formal
"Davis, Dunn and Kelly",1,0,SOW-0699,sow_0699.txt,1,0,corporate
Brandt-Smith,1,1,SOW-0700,sow_0700.txt,1,0,neutral
"Shepard, Cross and Reese",1,1,SOW-0701,sow_0701.txt,1,0,legal
"Castillo, Jones and Young",1,1,SOW-0702,sow_0702.txt,1,0,neutral
Bridges Group,,,SOW-0703,sow_0703.txt,1,1,explanatory
Contreras-Hess,1,1,SOW-0704,sow_0704.txt,1,0,neutral
"Gardner, Cole and Sanchez",1,1,SOW-0705,sow_0705.txt,1,0,technical
Decker-Mcdaniel,1,0,SOW-0706,sow_0706.txt,1,1,conversational
Wiley-Ramos,1,0,SOW-0707,sow_0707.txt,,,conversational
"Gardner, Morris and Mccarthy",1,1,SOW-0708,sow_0708.txt,,,corporate
"Phillips, Hernandez and Adams",1,0,SOW-0709,sow_0709.txt,1,0,conversational
King-Miller,1,1,SOW-0710,sow_0710.txt,1,0,corporate
Hayes-Ramirez,,,SOW-0711,sow_0711.txt,1,1,conversational
Combs PLC,1,1,SOW-0712,sow_0712.txt,1,0,technical
Henry PLC,,,SOW-0713,sow_0713.txt,1,1,explanatory
Harris-Harrison,,,SOW-0714,sow_0714.txt,1,1,conversational
Davis-Merritt,1,0,SOW-0715,sow_0715.txt,1,1,legal
"Sawyer, Martinez and Sutton",1,0,SOW-0716,sow_0716.txt,1,1,corporate
"Robbins, Brown and Chambers",1,1,SOW-0717,sow_0717.txt,,,technical
Wright PLC,1,0,SOW-0718,sow_0718.txt,1,1,formal
Jones-Reynolds,,,SOW-0719,sow_0719.txt,1,1,technical
Mason-Ferrell,1,0,SOW-0720,sow_0720.txt,,,formal
Terry-Greene,,,SOW-0721,sow_0721.txt,1,1,formal
"Clark, Hoover and Castro",,,SOW-0722,sow_0722.txt,1,1,legal
"Cox, Reilly and Cruz",1,1,SOW-0723,sow_0723.txt,,,formal
Lopez LLC,1,1,SOW-0724,sow_0724.txt,,,neutral
"Mcknight, Morrison and Weaver",1,0,SOW-0725,sow_0725.txt,1,1,corporate
"Walsh, Brown and Anderson",1,0,SOW-0726,sow_0726.txt,1,1,neutral
"Livingston, Mendez and Mcfarland",1,1,SOW-0727,sow_0727.txt,,,formal
Shea-Lee,1,0,SOW-0728,sow_0728.txt,1,1,conversational
Meyer-Daniels,,,SOW-0729,sow_0729.txt,1,1,technical
Boyd-Shaffer,1,1,SOW-0730,sow_0730.txt,1,0,corporate
"Benson, Boyd and Clark",1,1,SOW-0731,sow_0731.txt,,,contractual
"Mccullough, Martinez and Perkins",1,0,SOW-0732,sow_0732.txt,1,1,contractual
Moss Ltd,1,1,SOW-0733,sow_0733.txt,1,0,corporate
Fleming Ltd,,,SOW-0734,sow_0734.txt,1,1,neutral
"Adkins, Hernandez and Willis",1,0,SOW-0735,sow_0735.txt,1,1,technical
Oconnell PLC,1,0,SOW-0736,sow_0736.txt,1,0,formal
Taylor-Chase,1,1,SOW-0737,sow_0737.txt,1,0,contractual
"Gillespie, York and Gordon",1,0,SOW-0738,sow_0738.txt,1,1,neutral
Anderson-Peterson,1,1,SOW-0739,sow_0739.txt,1,0,formal
Mitchell LLC,1,1,SOW-0740,sow_0740.txt,,,conversational
Collins and Sons,1,1,SOW-0741,sow_0741.txt,,,technical
Lee-Martinez,,,SOW-0742,sow_0742.txt,1,1,contractual
"Smith, Price and Vasquez",1,1,SOW-0743,sow_0743.txt,1,0,explanatory
Taylor Ltd,1,1,SOW-0744,sow_0744.txt,,,legal
Sharp and Sons,1,1,SOW-0745,sow_0745.txt,1,0,explanatory
Brooks-Torres,1,1,SOW-0746,sow_0746.txt,,,corporate
Maynard PLC,1,1,SOW-0747,sow_0747.txt,1,0,explanatory
Ray-Smith,1,1,SOW-0748,sow_0748.txt,1,0,formal
Lane-Scott,1,1,SOW-0749,sow_0749.txt,1,0,explanatory
Davis Inc,,,SOW-0750,sow_0750.txt,1,1,legal
Pham Group,1,0,SOW-0751,sow_0751.txt,1,0,explanatory
Miller-Donovan,1,1,SOW-0752,sow_0752.txt,1,0,contractual
"Riley, Anderson and Turner",,,SOW-0753,sow_0753.txt,1,1,formal
"Cruz, Hernandez and West",1,1,SOW-0754,sow_0754.txt,1,0,technical
"Gallagher, Lee and Harvey",1,1,SOW-0755,sow_0755.txt,1,0,legal
"Davis, Montgomery and Savage",1,1,SOW-0756,sow_0756.txt,,,corporate
"Blair, Padilla and Knapp",1,1,SOW-0757,sow_0757.txt,,,legal
"Brown, Myers and Arnold",1,1,SOW-0758,sow_0758.txt,,,contractual
White-Mccullough,1,1,SOW-0759,sow_0759.txt,,,neutral
"Stewart, Spencer and Clay",1,0,SOW-0760,sow_0760.txt,1,0,legal
Powers-Ward,1,1,SOW-0761,sow_0761.txt,,,corporate
"Maldonado, Phillips and Rios",1,1,SOW-0762,sow_0762.txt,1,0,explanatory
"Pearson, Hunter and Randolph",,,SOW-0763,sow_0763.txt,1,1,explanatory
Greene-Davis,1,1,SOW-0764,sow_0764.txt,1,0,formal
Arroyo LLC,1,1,SOW-0765,sow_0765.txt,,,neutral
Morgan-Hughes,1,0,SOW-0766,sow_0766.txt,1,1,corporate
Mcdaniel Inc,1,1,SOW-0767,sow_0767.txt,1,0,technical
Freeman-Wilson,1,0,SOW-0768,sow_0768.txt,1,0,technical
Peterson Inc,,,SOW-0769,sow_0769.txt,1,1,contractual
"Patterson, Lewis and Hicks",1,0,SOW-0770,sow_0770.txt,1,1,formal
Pena-Young,,,SOW-0771,sow_0771.txt,1,1,conversational
Watts PLC,1,1,SOW-0772,sow_0772.txt,1,0,legal
Johnson-Miller,,,SOW-0773,sow_0773.txt,1,1,explanatory
Wolfe-Harris,1,0,SOW-0774,sow_0774.txt,1,1,corporate
Cunningham-Thompson,,,SOW-0775,sow_0775.txt,1,0,formal
Tanner-Martinez,1,0,SOW-0776,sow_0776.txt,1,1,contractual
"Robinson, Wilson and Arias",1,1,SOW-0777,sow_0777.txt,,,legal
Anderson and Sons,,,SOW-0778,sow_0778.txt,1,1,neutral
Dixon PLC,1,1,SOW-0779,sow_0779.txt,1,0,neutral
"Vazquez, Bean and Frost",1,1,SOW-0780,sow_0780.txt,1,0,conversational
Stanton-Williams,,,SOW-0781,sow_0781.txt,1,1,conversational
Sullivan-Ramirez,1,1,SOW-0782,sow_0782.txt,,,conversational
"Villegas, Maldonado and Williamson",1,0,SOW-0783,sow_0783.txt,1,1,contractual
Chandler Group,,,SOW-0784,sow_0784.txt,1,1,conversational
"Sims, Floyd and Houston",1,1,SOW-0785,sow_0785.txt,,,explanatory
Marquez LLC,1,1,SOW-0786,sow_0786.txt,1,0,explanatory
Mitchell-Tate,1,0,SOW-0787,sow_0787.txt,1,1,formal
Hawkins Group,1,0,SOW-0788,sow_0788.txt,,,legal
"Nicholson, Mccoy and Adams",,,SOW-0789,sow_0789.txt,1,1,technical
"Stewart, Clements and Drake",1,0,SOW-0790,sow_0790.txt,1,1,neutral
Miller-Grant,1,0,SOW-0791,sow_0791.txt,1,1,contractual
Moore Inc,1,1,SOW-0792,sow_0792.txt,1,0,explanatory
"Glenn, Schroeder and Smith",,,SOW-0793,sow_0793.txt,1,1,corporate
"Willis, Thomas and Collins",,,SOW-0794,sow_0794.txt,1,1,technical
"Hernandez, Aguilar and Burgess",1,1,SOW-0795,sow_0795.txt,1,0,legal
"Lynch, Ortiz and Simpson",1,1,SOW-0796,sow_0796.txt,,,formal
Martin-Adams,1,1,SOW-0797,sow_0797.txt,,,formal
Benitez-Giles,1,1,SOW-0798,sow_0798.txt,,,formal
Fischer-Bates,1,0,SOW-0799,sow_0799.txt,1,1,contractual
"Shannon, Craig and Kim",1,1,SOW-0800,sow_0800.txt,1,0,legal
Watkins-Green,,,SOW-0801,sow_0801.txt,1,1,corporate
"King, Mendoza and Stanley",,,SOW-0802,sow_0802.txt,1,1,contractual
"Johnson, King and Chandler",,,SOW-0803,sow_0803.txt,1,1,technical
"Flynn, Ho and Smith",,,SOW-0804,sow_0804.txt,1,1,technical
Hill-Romero,,,SOW-0805,sow_0805.txt,1,1,technical
Brown-Pham,1,1,SOW-0806,sow_0806.txt,1,0,explanatory
Burke-Morris,1,1,SOW-0807,sow_0807.txt,1,0,formal
Cline Group,,,SOW-0808,sow_0808.txt,1,1,corporate
Adams-Sherman,1,1,SOW-0809,sow_0809.txt,1,0,conversational
Mcdonald LLC,1,0,SOW-0810,sow_0810.txt,1,1,explanatory
Huang Ltd,,,SOW-0811,sow_0811.txt,1,1,legal
Garcia-Suarez,1,0,SOW-0812,sow_0812.txt,1,0,corporate
Buckley-Dixon,1,1,SOW-0813,sow_0813.txt,1,0,formal
King LLC,,,SOW-0814,sow_0814.txt,1,1,neutral
Jefferson-Green,1,1,SOW-0815,sow_0815.txt,1,0,explanatory
Russell LLC,,,SOW-0816,sow_0816.txt,1,1,technical
Dominguez LLC,,,SOW-0817,sow_0817.txt,1,1,technical
Evans-Camacho,1,0,SOW-0818,sow_0818.txt,1,1,contractual
Villarreal LLC,1,0,SOW-0819,sow_0819.txt,1,1,explanatory
Smith LLC,1,1,SOW-0820,sow_0820.txt,,,explanatory
"Wilson, Watson and Cameron",1,1,SOW-0821,sow_0821.txt,1,0,technical
Martinez-Johnson,1,0,SOW-0822,sow_0822.txt,1,1,contractual
"Carney, West and Rogers",1,0,SOW-0823,sow_0823.txt,1,1,corporate
Russell PLC,1,1,SOW-0824,sow_0824.txt,,,formal
Jackson Ltd,1,0,SOW-0825,sow_0825.txt,1,1,neutral
Knight PLC,1,1,SOW-0826,sow_0826.txt,,,technical
Brown-Meyer,1,1,SOW-0827,sow_0827.txt,1,0,contractual
Gray Inc,1,1,SOW-0828,sow_0828.txt,,,neutral
Clark-Thomas,1,0,SOW-0829,sow_0829.txt,1,0,corporate
"Estrada, Reynolds and Collins",1,1,SOW-0830,sow_0830.txt,1,0,legal
Peterson Inc,1,0,SOW-0831,sow_0831.txt,1,1,conversational
Greene LLC,1,1,SOW-0832,sow_0832.txt,1,0,legal
Hernandez-Adams,1,1,SOW-0833,sow_0833.txt,1,0,formal
"Wilson, Evans and Diaz",1,0,SOW-0834,sow_0834.txt,1,0,neutral
Ward Ltd,,,SOW-0835,sow_0835.txt,1,1,contractual
Ponce LLC,,,SOW-0836,sow_0836.txt,1,0,corporate
Bennett-Golden,,,SOW-0837,sow_0837.txt,1,1,corporate
Kaufman Group,1,1,SOW-0838,sow_0838.txt,1,0,formal
Guerra Inc,1,1,SOW-0839,sow_0839.txt,1,0,contractual
Key Group,1,1,SOW-0840,sow_0840.txt,1,0,formal
Johnston PLC,1,1,SOW-0841,sow_0841.txt,1,0,explanatory
Roberts and Sons,,,SOW-0842,sow_0842.txt,1,0,conversational
Roberson Ltd,1,1,SOW-0843,sow_0843.txt,,,explanatory
Atkins-White,1,1,SOW-0844,sow_0844.txt,,,technical
Austin-Snyder,1,1,SOW-0845,sow_0845.txt,,,contractual
"Willis, Rodriguez and Mcclain",1,1,SOW-0846,sow_0846.txt,,,legal
George Ltd,1,0,SOW-0847,sow_0847.txt,1,1,legal
"Fischer, Berg and Cross",,,SOW-0848,sow_0848.txt,1,1,technical
Lane Group,1,0,SOW-0849,sow_0849.txt,1,1,formal
Pratt Ltd,1,0,SOW-0850,sow_0850.txt,,,technical
Harding-Harris,1,0,SOW-0851,sow_0851.txt,1,1,contractual
"Bolton, Roberts and Allison",,,SOW-0852,sow_0852.txt,1,1,corporate
Mcmillan PLC,1,0,SOW-0853,sow_0853.txt,1,0,corporate
Brown and Sons,,,SOW-0854,sow_0854.txt,1,1,technical
Weber-Jones,1,0,SOW-0855,sow_0855.txt,1,1,formal
Watkins-Perez,1,0,SOW-0856,sow_0856.txt,1,0,technical
Johnson and Sons,1,1,SOW-0857,sow_0857.txt,1,0,conversational
"Martinez, Hill and Cook",1,1,SOW-0858,sow_0858.txt,,,legal
"Callahan, Tapia and Alvarez",1,0,SOW-0859,sow_0859.txt,1,1,technical
Woodward Ltd,1,1,SOW-0860,sow_0860.txt,1,0,contractual
Jackson-Stout,1,0,SOW-0861,sow_0861.txt,1,1,corporate
"Kim, Murphy and Williams",1,1,SOW-0862,sow_0862.txt,,,explanatory
"Barber, Underwood and Bailey",1,0,SOW-0863,sow_0863.txt,1,1,legal
Miller Group,1,1,SOW-0864,sow_0864.txt,,,contractual
English Group,,,SOW-0865,sow_0865.txt,1,1,technical
Burns PLC,,,SOW-0866,sow_0866.txt,1,1,technical
Rivera-Phillips,1,1,SOW-0867,sow_0867.txt,1,0,conversational
Arnold-Tucker,1,1,SOW-0868,sow_0868.txt,1,0,corporate
Gomez Ltd,1,1,SOW-0869,sow_0869.txt,,,legal
